frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
968,250.7284,80.7833,82.5358,11.5809,,false,10,0.008333,3.4272,0.0833,1.00,1.00,4.2026,22,1,40,0,53760,191,191,0,0,824856576,11.5809,0.0708,3.4272,1.1179,0.0000,0.0000
969,250.8204,80.8583,75.5477,27.5683,,false,9,0.008333,3.6320,0.0750,1.00,0.99,4.7503,22,1,40,0,53760,191,191,0,0,824856576,27.5683,0.0668,3.6320,18.1521,0.0000,0.0000
970,250.8890,80.9417,83.5133,12.8248,,false,10,0.008333,3.2960,0.0833,1.00,1.00,4.9303,22,1,40,0,53760,191,191,0,0,824856576,12.8248,0.1254,3.2960,1.1601,0.0000,0.0000
971,250.9722,81.0250,83.5173,12.5134,,false,10,0.008333,4.0986,0.0833,1.00,1.00,5.1143,22,1,40,0,53760,191,191,0,0,824860672,12.5134,0.1031,4.0986,1.2902,0.0000,0.0000
972,251.0527,81.1083,82.0225,11.0775,,false,10,0.008333,3.0914,0.0833,1.00,1.00,3.8035,22,1,40,0,53760,191,191,0,0,824860672,11.0775,0.0877,3.0914,1.2013,0.0000,0.0000
973,251.1293,81.1833,77.6651,10.0211,,false,9,0.008333,3.3253,0.0750,1.00,0.97,6.4687,22,1,40,0,53760,191,191,0,0,824860672,10.0211,0.0705,3.3253,1.3745,0.0000,0.0000
974,251.2164,81.2583,72.5019,24.5164,,false,9,0.008333,3.0699,0.0750,1.00,1.00,3.9705,22,1,40,0,53760,191,191,0,0,824860672,24.5164,0.0686,3.0699,15.7982,0.0000,0.0000
975,251.2852,81.3417,82.6359,10.8192,,false,10,0.008333,3.0650,0.0833,1.00,1.00,3.2731,22,1,40,0,53760,191,191,0,0,824860672,10.8192,0.0651,3.0650,1.1447,0.0000,0.0000
976,251.3586,81.4167,75.5245,8.4818,,false,9,0.008333,2.3847,0.0750,1.00,0.99,3.7976,22,1,40,0,53760,191,191,0,0,824860672,8.4818,0.0636,2.3847,1.0714,0.0000,0.0000
977,251.4354,81.4917,74.9762,10.3107,,false,9,0.008333,3.0817,0.0750,1.00,1.00,3.7737,22,1,40,0,53760,191,191,0,0,824860672,10.3107,0.0725,3.0817,1.1558,0.0000,0.0000
