frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:simulation.coast_bake_ms,scope:simulation.trajectory_prediction_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
657,6.8569,6.5833,8.6313,4.9523,,false,1,0.008333,0.3064,0.0083,1.00,0.97,6.7017,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,4.9523,0.0632,0.3064,2.2489,0.1130,0.0000,0.0000,0.0000
658,6.8650,6.5917,7.7668,5.1926,,false,1,0.008333,0.2093,0.0083,1.00,1.00,6.1351,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,5.1926,0.0621,0.2093,1.8871,0.1221,0.0000,0.0000,0.0000
659,6.8724,6.6000,7.8612,4.8727,,false,1,0.008333,0.1302,0.0083,1.00,1.00,5.6630,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,4.8727,0.0481,0.1302,1.7902,0.1140,0.0000,0.0000,0.0000
660,6.8799,6.6083,8.2261,4.1236,,false,1,0.008333,0.0699,0.0083,1.00,1.00,5.5557,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,4.1236,0.0369,0.0699,1.6579,0.1599,0.0000,0.0000,0.0000
661,6.8881,6.6167,7.8734,4.5338,,false,1,0.008333,0.0981,0.0083,1.00,1.00,5.0958,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,4.5338,0.0589,0.0981,1.3946,0.1624,0.0000,0.0000,0.0000
662,6.8968,6.6250,8.2659,5.0597,,false,1,0.008333,0.1101,0.0083,1.00,1.00,5.0283,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,5.0597,0.0489,0.1101,1.4129,0.2249,0.0000,0.0000,0.0000
663,6.9047,6.6333,8.1050,4.9486,,false,1,0.008333,0.1599,0.0083,1.00,1.00,4.8000,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,4.9486,0.0729,0.1599,1.4823,0.1884,0.0000,0.0000,0.0000
664,6.9122,6.6417,8.2900,4.0029,,false,1,0.008333,0.1552,0.0083,1.00,1.00,4.7566,22,1,0,0,0,0,0,0,0,879202304,0.000000,0.000000,0.000000,0.00,4.0029,0.0417,0.1552,1.3899,0.1346,0.0000,0.0000,0.0000
665,6.9208,6.6500,8.1108,4.5617,,false,1,0.008333,0.1604,0.0083,1.00,1.00,4.5341,22,1,0,0,0,0,0,0,0,879202304,0.000000,0.000000,0.000000,0.00,4.5617,0.0593,0.1604,1.3580,0.2117,0.0000,0.0000,0.0000
666,6.9290,6.6583,8.0427,4.7290,,false,1,0.008333,0.1210,0.0083,1.00,1.00,4.2435,22,1,0,0,0,0,0,0,0,879202304,0.000000,0.000000,0.000000,0.00,4.7290,0.0469,0.1210,1.3979,0.1676,0.0000,0.0000,0.0000
667,6.9370,6.6667,7.8518,4.6151,,false,1,0.008333,0.1234,0.0083,1.00,1.00,3.7619,22,1,0,0,0,0,0,0,0,879202304,0.000000,0.000000,0.000000,0.00,4.6151,0.0522,0.1234,1.4669,0.1155,0.0000,0.0000,0.0000
668,6.9444,6.6750,7.8389,4.1978,,false,1,0.008333,0.1973,0.0083,1.00,1.00,3.2675,22,1,0,0,0,0,0,0,0,879202304,0.000000,0.000000,0.000000,0.00,4.1978,0.0676,0.1973,1.3972,0.0547,0.0000,0.0000,0.0000
669,6.9526,6.6833,7.8862,4.5826,,false,1,0.008333,0.1295,0.0083,1.00,1.00,2.8204,22,1,0,0,0,0,0,0,0,879202304,0.000000,0.000000,0.000000,0.00,4.5826,0.0503,0.1295,1.4841,0.1201,0.0000,0.0000,0.0000
